0.0146,0.0146,0.0146,0.0146,0.0146,0.0292,0.0292,0.0292,0.0292,0.0292,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0146,0.0146,0.0146,0.0146,0.0146,0.0292,0.0292,0.0292,0.0292,0.0292,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0146,0.0146,0.0146,0.0146,0.0146,0.0292,0.0292,0.0292,0.0292,0.0292,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,30,31,31,1,10,30,50,51,1,10,30,50,80,90,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,10,15,18,1,5,10,15,18,1,5,10,15,29,25,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,75,79,5000,5000,28,35,44,45,5000,16,25,31,33,52,60,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,400,700,900,6000,300,400,700,900,6000,200,400,700,800,850,900,6000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17,20,25,51,15,16,18,25,35,15,15,16,17,20,25,40,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t2.micro,t2.micro,t2.micro,t2.micro,t2.micro,t2.small,t2.small,t2.small,t2.small,t2.small,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.micro,t2.micro,t2.micro,t2.micro,t2.micro,t2.small,t2.small,t2.small,t2.small,t2.small,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.micro,t2.micro,t2.micro,t2.micro,t2.micro,t2.small,t2.small,t2.small,t2.small,t2.small,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,t2.medium,,,,,,,
